gr_id,po_number,sku,qty_received,received_date,store
GR-01-1,PO-2026-0401,GN-ERDE20,40,2026-09-15,HH1
GR-01-2,PO-2026-0401,GN-TOPF30,20,2026-09-15,HH1
GR-01-3,PO-2026-0401,GN-DUENGER,15,2026-09-15,HH1
GR-02-1,PO-2026-0402,WK-SPAT,25,2026-09-14,KI1
GR-02-2,PO-2026-0402,WK-HARKE,25,2026-09-14,KI1
GR-02-3,PO-2026-0402,WK-SCHERE,30,2026-09-14,KI1
GR-03-1,PO-2026-0403,HP-DIELE,60,2026-09-16,LU1
GR-03-2,PO-2026-0403,HP-PFOSTEN,20,2026-09-16,LU1
GR-04-1,PO-2026-0404,LE-LED60,15,2026-09-18,FL1
GR-04-2,PO-2026-0404,LE-KABEL,10,2026-09-18,FL1
GR-04-3,PO-2026-0404,LE-TIMER,12,2026-09-18,FL1
GR-05-1,PO-2026-0405,FA-LASUR,18,2026-09-20,NMS1
GR-05-2,PO-2026-0405,FA-GRUND,10,2026-09-20,NMS1
GR-06-1,PO-2026-0406,PM-ROSE,40,2026-09-17,NOR1
GR-06-2,PO-2026-0406,PM-HORT,25,2026-09-17,NOR1
GR-06-3,PO-2026-0406,PM-LAVENDEL,30,2026-09-17,NOR1
GR-07-1,PO-2026-0407,GN-MULCH,50,2026-09-10,ITZ1
GR-07-2,PO-2026-0407,GN-TORF,20,2026-09-10,ITZ1
GR-08-1,PO-2026-0408,WK-SAEGE,20,2026-09-19,REN1
GR-08-2,PO-2026-0408,WK-HANDSCH,40,2026-09-19,REN1
GR-09-1,PO-2026-0409,HP-UHK,30,2026-09-21,ELM1
GR-09-2,PO-2026-0409,HP-SCHRAUBEN,50,2026-09-21,ELM1
GR-09-3,PO-2026-0409,HP-DIELE,20,2026-09-21,ELM1
GR-10-1,PO-2026-0410,PM-BUXUS,15,2026-09-22,PIN1
GR-10-2,PO-2026-0410,PM-ROSE,20,2026-09-22,PIN1
GR-11-1,PO-2026-0411,GN-DUENGER,30,2026-09-19,BSG1
GR-11-2,PO-2026-0411,GN-ERDE20,20,2026-09-19,BSG1
GR-12-1,PO-2026-0412,FA-DISP,25,2026-09-15,HH2
GR-12-2,PO-2026-0412,FA-PINSEL,15,2026-09-15,HH2
GR-13-1,PO-2026-0413,WK-HANDSCH,32,2026-09-18,KI2
GR-13-2,PO-2026-0413,WK-SCHERE,15,2026-09-18,KI2
GR-15-1,PO-2026-0415,HP-SCHRAUBEN,40,2026-09-14,ITZ2
GR-15-2,PO-2026-0415,HP-PFOSTEN,10,2026-09-14,ITZ2
GR-16-1,PO-2026-0416,LE-SOLAR,20,2026-09-16,REN2
GR-16-2,PO-2026-0416,LE-TIMER,15,2026-09-16,REN2
GR-18-1,PO-2026-0418,PM-LAVENDEL,40,2026-09-20,BSG2
GR-18-2,PO-2026-0418,PM-HORT,20,2026-09-20,BSG2
