supplier_id,invoice_number,invoice_date,gross_eur,paid_date
S01,RE-2026-2201,2026-08-05,612.40,2026-08-14
S02,RE-2026-1180,2026-08-07,845.10,2026-08-20
S03,RE-2026-3301,2026-08-25,249.90,2026-08-30
S03,RE-2026-3290,2026-08-11,1203.55,2026-08-19
S04,RE-2026-0850,2026-08-14,530.20,2026-08-25
S05,RE-2026-4410,2026-08-18,398.77,2026-08-27
S06,RE-2026-5501,2026-08-20,512.30,2026-08-28
S01,RE-2026-2215,2026-08-28,289.60,2026-09-05
S02,RE-2026-1199,2026-08-30,675.40,2026-09-08
S06,RE-2026-5512,2026-09-02,340.10,2026-09-10
